policy,sigma,episode,reset_seed,reward,steps,success,max_force,mean_force,violation_rate,pre_frac,contact_frac,manip_frac,manip_entered,near_object_frac,safe_contact_ratio,safe_contact_per_near,contact_avoidance_index,grasp_detected_frac,lift_active_frac,close_active_frac,min_dist
SAC_Value_2M,0.0,25,25,2134.6982593468715,500,1.0,32.0516723967809,5.663048608413617,0.0,0.008,0.018,0.96,1.0,0.986,0.2222222222222222,0.004056795131845842,0.9959432048681541,0.0,0.0,0.0,0.005265289130281538
SAC_Value_2M,0.0,26,26,2083.509474328034,500,1.0,21.257683627077995,4.769444733701475,0.006,0.014,0.032,0.934,1.0,0.98,0.375,0.012244897959183673,0.9877551020408163,0.0,0.0,0.0,0.009764074910321208
SAC_Value_2M,0.0,27,27,2121.809690187147,500,1.0,39.395166634951,6.13236391912209,0.0,0.006,0.024,0.952,1.0,0.982,0.3333333333333333,0.008146639511201629,0.9918533604887984,0.0,0.0,0.0,0.0039748917887072474
SAC_Value_2M,0.0,28,28,2142.3260304083415,500,1.0,24.6978462182578,5.310242304617324,0.0,0.008,0.022,0.954,1.0,0.984,0.18181818181818182,0.0040650406504065045,0.9959349593495935,0.0,0.0,0.0,0.002817451334161286
SAC_Value_2M,0.0,29,29,2145.1592151625528,500,1.0,40.912200193013824,5.891788170196641,0.0,0.008,0.022,0.954,1.0,0.984,0.09090909090909091,0.0020325203252032522,0.9979674796747967,0.0,0.0,0.0,0.00464530176964056
M4_warm,0.0,0,0,32.76744617287079,500,0.0,79.67141577700394,1.0681032001971578,0.002,0.164,0.13,0.0,0.0,0.294,0.4,0.17687074829931973,0.8231292517006803,0.0,0.0,0.0,0.03115388722758056
M4_warm,0.0,1,1,2100.685931529472,500,1.0,49.79967094621269,5.182690134213525,0.0,0.008,0.032,0.92,1.0,0.96,0.125,0.004166666666666667,0.9958333333333333,0.0,0.0,0.0,0.011255823957398782
M4_warm,0.0,2,2,2164.9372949569497,500,1.0,34.37640678701673,7.493180591617377,0.0,0.006,0.028,0.944,1.0,0.978,0.7142857142857143,0.02044989775051125,0.9795501022494888,0.0,0.0,0.0,0.010558616364593059
M4_warm,0.0,3,3,1965.2326960415444,500,0.0,23.04707656462911,5.581241775791719,0.04,0.006,0.022,0.866,1.0,0.894,0.09090909090909091,0.0022371364653243847,0.9977628635346756,0.0,0.0,0.0,0.015738094961066703
M4_warm,0.0,4,4,558.6515752481403,500,0.0,55.62095814263463,4.323271784710305,0.042,0.01,0.032,0.242,1.0,0.284,0.5,0.056338028169014086,0.9436619718309859,0.0,0.0,0.0,0.0156994062088198
M4_warm,0.0,5,5,710.1556599387296,500,0.0,70.47925196408117,4.358229402043394,0.026,0.004,0.024,0.316,1.0,0.344,0.5,0.03488372093023256,0.9651162790697675,0.0,0.0,0.0,0.004394683235867359
M4_warm,0.0,6,6,184.68469278907423,500,0.0,75.42961373912,9.356972051188105,0.098,0.016,0.878,0.068,1.0,0.962,0.7767653758542141,0.7089397089397089,0.2910602910602911,0.0,0.0,0.0,0.01941809530750721
M4_warm,0.0,7,7,468.6725914431154,500,0.0,31.66629654845166,2.767549204231326,0.02,0.01,0.028,0.202,1.0,0.24,0.7857142857142857,0.09166666666666666,0.9083333333333333,0.0,0.0,0.0,0.01488177356808369
M4_warm,0.0,8,8,182.59183136977563,500,0.0,77.60900924129889,33.766628313010656,0.354,0.014,0.902,0.062,1.0,0.978,0.37250554323725055,0.34355828220858897,0.656441717791411,0.0,0.0,0.0,0.020271513352182156
M4_warm,0.0,9,9,2049.6479108661592,500,0.0,31.33483687082061,9.424652054847051,0.04,0.008,0.03,0.894,1.0,0.932,0.4,0.012875536480686695,0.9871244635193133,0.0,0.0,0.0,0.012341523637264292
M4_warm,0.0,10,10,153.8943619065801,500,0.0,49.729056086482224,1.822695191360091,0.122,0.044,0.07,0.06,1.0,0.174,0.6,0.2413793103448276,0.7586206896551724,0.0,0.0,0.0,0.021897627530569775
M4_warm,0.0,11,11,2014.1819108751156,500,0.0,23.334595249997022,5.723796485896119,0.05,0.012,0.028,0.898,1.0,0.938,0.5,0.014925373134328358,0.9850746268656716,0.0,0.0,0.0,0.005988906750596295
M4_warm,0.0,12,12,522.8844756611096,500,0.0,80.93695512340037,8.351361288393296,0.048,0.12,0.252,0.22,1.0,0.592,0.4365079365079365,0.1858108108108108,0.8141891891891893,0.0,0.0,0.0,0.003955728506526667
M4_warm,0.0,13,13,892.7777174555006,500,0.0,73.85742938464985,13.50888798399876,0.04,0.004,0.27,0.414,1.0,0.688,0.5555555555555556,0.2180232558139535,0.7819767441860466,0.0,0.0,0.0,0.009690083772057418
M4_warm,0.0,14,14,214.14847421362913,500,0.0,98.1183219421334,35.34462980120895,0.348,0.004,0.908,0.064,1.0,0.976,0.45594713656387664,0.42418032786885246,0.5758196721311475,0.0,0.0,0.0,0.021992953689493444
M4_warm,0.0,15,15,1231.9152967232167,500,0.0,50.07049448513015,5.780799456442111,0.074,0.008,0.034,0.548,1.0,0.59,0.35294117647058826,0.020338983050847456,0.9796610169491525,0.0,0.0,0.0,0.013187929580423524
M4_warm,0.0,16,16,120.36081533645618,500,0.0,60.1239823463708,3.4822232236518436,0.018,0.004,0.092,0.05,0.0,0.146,0.391304347826087,0.2465753424657534,0.7534246575342466,0.0,0.0,0.0,0.021856650276379792
M4_warm,0.0,17,17,3.8506424299977264,500,0.0,0.03146070080483231,6.292140160966462e-05,0.002,0.024,0.008,0.0,0.0,0.032,0.25,0.0625,0.9375,0.0,0.0,0.0,0.04003492595457679
M4_warm,0.0,18,18,36.73934537590226,500,0.0,69.50415872347205,2.7381714721226884,0.024,0.156,0.19,0.0,0.0,0.346,0.3473684210526316,0.1907514450867052,0.8092485549132948,0.0,0.0,0.0,0.029969312225620742
M4_warm,0.0,19,19,146.14074208395144,500,0.0,49.15314275935519,1.1261596442254813,0.004,0.026,0.026,0.064,1.0,0.116,0.6153846153846154,0.13793103448275862,0.8620689655172413,0.0,0.0,0.0,0.02159359805789704
M4_warm,0.0,20,20,2082.378709278135,500,1.0,96.27900054876689,5.412846839697686,0.002,0.012,0.05,0.912,1.0,0.974,0.44,0.022587268993839837,0.9774127310061602,0.0,0.0,0.0,0.009834231652156786
M4_warm,0.0,21,21,411.9041829685797,500,0.0,46.16845549245222,1.6538326937788588,0.02,0.016,0.036,0.182,1.0,0.234,0.7777777777777778,0.11965811965811966,0.8803418803418803,0.0,0.0,0.0,0.024842343999782156
M4_warm,0.0,22,22,105.44423637273019,500,0.0,11.585941230932566,0.0675645436870148,0.002,0.01,0.964,0.0,0.0,0.974,0.01037344398340249,0.01026694045174538,0.9897330595482546,0.0,0.0,0.0,0.041264153025200895
M4_warm,0.0,23,23,1264.9157286160041,500,1.0,85.11652514005817,14.48174785842018,0.076,0.012,0.1,0.86,1.0,0.972,0.18,0.018518518518518517,0.9814814814814815,0.0,0.0,0.0,0.020925637832047664
M4_warm,0.0,24,24,19.7455915674605,500,0.0,63.63405342302379,0.8143762178141811,0.008,0.026,0.036,0.008,0.0,0.07,0.2222222222222222,0.11428571428571428,0.8857142857142857,0.0,0.0,0.0,0.0335688662836859
M4_warm,0.0,25,25,2191.806227840161,500,1.0,27.97398107129148,5.664744351869372,0.0,0.006,0.026,0.952,1.0,0.984,0.15384615384615385,0.0040650406504065045,0.9959349593495935,0.0,0.0,0.0,0.012757287765155724
M4_warm,0.0,26,26,2143.5339840482443,500,1.0,50.96677181172853,9.862805968532044,0.002,0.006,0.028,0.94,1.0,0.974,0.42857142857142855,0.012320328542094456,0.9876796714579056,0.0,0.0,0.0,0.012959904561788535
M4_warm,0.0,27,27,104.33372909647589,500,0.0,149.16551443737953,4.271764466204779,0.066,0.042,0.102,0.038,0.0,0.182,0.35294117647058826,0.1978021978021978,0.8021978021978022,0.0,0.0,0.0,0.022555680098408602
M4_warm,0.0,28,28,2112.0948599949525,500,1.0,44.605747265840414,9.145288544062671,0.004,0.004,0.028,0.944,1.0,0.976,0.7142857142857143,0.020491803278688523,0.9795081967213115,0.0,0.0,0.0,0.013647948817872804
M4_warm,0.0,29,29,91.87527861735121,500,0.0,26.76198312265617,0.7895619302972443,0.012,0.006,0.03,0.042,0.0,0.078,0.4666666666666667,0.1794871794871795,0.8205128205128205,0.0,0.0,0.0,0.018645497631039013
M4_1_baseline,0.0,0,0,49.15212462202352,500,0.0,0.0,0.0,0.01,0.948,0.0,0.0,0.0,0.948,0.0,0.0,1.0,0.0,0.0,0.0,0.09363415979729647
M4_1_baseline,0.0,1,1,2070.255842709911,500,1.0,36.53465963357846,5.635654246763096,0.004,0.008,0.038,0.928,1.0,0.974,0.3157894736842105,0.012320328542094456,0.9876796714579056,0.0,0.0,0.0,0.0027721235733500368
M4_1_baseline,0.0,2,2,2139.6220681296772,500,1.0,38.64833496423225,8.320407432799248,0.128,0.008,0.02,0.948,1.0,0.976,0.1,0.0020491803278688526,0.9979508196721312,0.0,0.0,0.0,0.007779206652296592
M4_1_baseline,0.0,3,3,652.8538839737064,500,0.0,43.28347365966491,2.5805030687369723,0.04,0.078,0.026,0.29,1.0,0.394,0.07692307692307693,0.005076142131979695,0.9949238578680203,0.0,0.0,0.0,0.010791154217712247
M4_1_baseline,0.0,4,4,2003.3863175337822,500,1.0,44.50344842681976,6.149913256347872,0.0,0.008,0.032,0.898,1.0,0.938,0.4375,0.014925373134328358,0.9850746268656716,0.0,0.0,0.0,0.006487015455932015
M4_1_baseline,0.0,5,5,2127.550207182914,500,1.0,27.32324917737973,5.501340023633497,0.002,0.01,0.03,0.938,1.0,0.978,0.2,0.006134969325153374,0.9938650306748467,0.0,0.0,0.0,0.006490359802529492
M4_1_baseline,0.0,6,6,2019.7288887696704,500,1.0,45.954976358020424,8.838309241463355,0.008,0.026,0.03,0.904,1.0,0.96,0.6,0.01875,0.98125,0.0,0.0,0.0,0.014413187964884581
M4_1_baseline,0.0,7,7,5.880130888282785,500,0.0,111.95003124829792,0.6592228755912649,0.036,0.016,0.028,0.0,0.0,0.044,0.21428571428571427,0.13636363636363635,0.8636363636363636,0.0,0.0,0.0,0.015230898229204776
M4_1_baseline,0.0,8,8,2105.636475382421,500,1.0,60.37370552236396,5.938673128604668,0.002,0.008,0.028,0.94,1.0,0.976,0.21428571428571427,0.006147540983606557,0.9938524590163934,0.0,0.0,0.0,0.00430464017853483
M4_1_baseline,0.0,9,9,2113.006202306187,500,1.0,63.14691589166826,5.448079774962072,0.004,0.008,0.034,0.936,1.0,0.978,0.4117647058823529,0.014314928425357873,0.9856850715746421,0.0,0.0,0.0,0.006275745764150054
M4_1_baseline,0.0,10,10,2082.2109814799655,500,1.0,37.856171339073775,8.239287278280262,0.146,0.008,0.026,0.916,1.0,0.95,0.3076923076923077,0.008421052631578947,0.991578947368421,0.0,0.0,0.0,0.004221463865780556
M4_1_baseline,0.0,11,11,51.46550690684612,500,0.0,90.66415968079937,5.148697494315371,0.1,0.112,0.16,0.018,0.0,0.29,0.35,0.19310344827586207,0.806896551724138,0.0,0.0,0.0,0.02018928830228589
M4_1_baseline,0.0,12,12,939.4207822317222,500,0.0,32.17611889792411,3.982322436795306,0.068,0.164,0.134,0.402,1.0,0.7,0.07462686567164178,0.014285714285714285,0.9857142857142858,0.0,0.0,0.0,0.0033511339790756644
M4_1_baseline,0.0,13,13,2126.5857243613527,500,1.0,34.509386495158545,5.893136344871007,0.002,0.008,0.024,0.94,1.0,0.972,0.5,0.012345679012345678,0.9876543209876543,0.0,0.0,0.0,0.002964291391150381
M4_1_baseline,0.0,14,14,751.8917780998348,500,0.0,37.509986577239864,3.162656197766795,0.026,0.008,0.02,0.334,1.0,0.362,0.4,0.022099447513812154,0.9779005524861879,0.0,0.0,0.0,0.01852294643669143
M4_1_baseline,0.0,15,15,45.421772711247975,500,0.0,59.65882687851974,1.8986501320868912,0.002,0.026,0.102,0.01,0.0,0.138,0.47058823529411764,0.34782608695652173,0.6521739130434783,0.0,0.0,0.0,0.02032991614774323
M4_1_baseline,0.0,16,16,2104.891601455656,500,1.0,27.44442599750537,5.435061101427102,0.002,0.008,0.03,0.942,1.0,0.98,0.4,0.012244897959183673,0.9877551020408163,0.0,0.0,0.0,0.009694684449994327
M4_1_baseline,0.0,17,17,2143.999640142368,500,1.0,23.609467081962016,7.619024068805892,0.002,0.006,0.024,0.948,1.0,0.978,0.3333333333333333,0.0081799591002045,0.9918200408997955,0.0,0.0,0.0,0.014550316211720864
M4_1_baseline,0.0,18,18,2125.0715357499016,500,1.0,23.890986653410877,5.557254171759117,0.002,0.008,0.034,0.94,1.0,0.982,0.5882352941176471,0.020366598778004074,0.9796334012219959,0.0,0.0,0.0,0.012197698438823054
M4_1_baseline,0.0,19,19,2145.8323327932944,500,1.0,32.714880313767765,8.138761825084712,0.114,0.006,0.036,0.934,1.0,0.976,0.5555555555555556,0.020491803278688523,0.9795081967213115,0.0,0.0,0.0,0.0015971034168542465
M4_1_baseline,0.0,20,20,31.12492060482096,500,0.0,0.0,0.0,0.008,0.026,0.0,0.0,0.0,0.026,0.0,0.0,1.0,0.0,0.0,0.0,0.11338395204861305
M4_1_baseline,0.0,21,21,31.97750937331449,500,0.0,0.0,0.0,0.01,0.342,0.02,0.0,0.0,0.362,0.0,0.0,1.0,0.0,0.0,0.0,0.041984777028651867
M4_1_baseline,0.0,22,22,6.716351752905507,500,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15090006545688203
M4_1_baseline,0.0,23,23,48.64073070289554,500,0.0,0.0,0.0,0.01,0.946,0.0,0.0,0.0,0.946,0.0,0.0,1.0,0.0,0.0,0.0,0.08878121500980538
M4_1_baseline,0.0,24,24,2113.877765048255,500,1.0,35.62266615287473,4.930419640468381,0.016,0.006,0.022,0.914,1.0,0.942,0.18181818181818182,0.004246284501061571,0.9957537154989384,0.0,0.0,0.0,0.010281307474536348
M4_1_baseline,0.0,25,25,2110.184575270176,500,1.0,77.47405261130487,5.619247689477327,0.004,0.01,0.022,0.944,1.0,0.976,0.09090909090909091,0.0020491803278688526,0.9979508196721312,0.0,0.0,0.0,0.010305462032257857
M4_1_baseline,0.0,26,26,1995.5135240955601,500,1.0,54.517600167926446,8.002501396636347,0.018,0.01,0.036,0.89,1.0,0.936,0.1111111111111111,0.004273504273504274,0.9957264957264957,0.0,0.0,0.0,0.012676287941948193
M4_1_baseline,0.0,27,27,2152.6817343159933,500,1.0,39.22007723061326,6.230597763191278,0.002,0.006,0.022,0.946,1.0,0.974,0.09090909090909091,0.002053388090349076,0.997946611909651,0.0,0.0,0.0,0.012992794628648607
M4_1_baseline,0.0,28,28,780.2546883714547,500,0.0,49.43073076424271,3.8088138155326963,0.066,0.016,0.028,0.346,1.0,0.39,0.5,0.035897435897435895,0.9641025641025641,0.0,0.0,0.0,0.010726013404028832
